Time, Disp
0.842,-40.9639
0.843,-41.48
0.844,-41.983
0.845,-42.4727
0.846,-42.9487
0.847,-43.4109
0.848,-43.859
0.849,-44.2928
0.85,-44.712
0.851,-45.1166
0.852,-45.5062
0.853,-45.8807
0.854,-46.2399
0.855,-46.5836
0.856,-46.9117
0.857,-47.2239
0.858,-47.5202
0.859,-47.8003
0.86,-48.0641
0.861,-48.3116
0.862,-48.5425
0.863,-48.7568
0.864,-48.9544
0.865,-49.1351
0.866,-49.2989
0.867,-49.4456
0.868,-49.5753
0.869,-49.6878
0.87,-49.7831
0.871,-49.8611
0.872,-49.9219
0.873,-49.9653
0.874,-49.9913
0.875,-50
0.876,-49.9913
0.877,-49.9653
0.878,-49.9219
0.879,-49.8611
0.88,-49.7831
0.881,-49.6878
0.882,-49.5753
0.883,-49.4456
0.884,-49.2989
0.885,-49.1351
0.886,-48.9544
0.887,-48.7568
0.888,-48.5425
0.889,-48.3116
0.89,-48.0641
0.891,-47.8003
0.892,-47.5202
0.893,-47.2239
0.894,-46.9117
0.895,-46.5836
0.896,-46.2399
0.897,-45.8807
0.898,-45.5062
0.899,-45.1166
0.9,-44.712
0.901,-44.2928
0.902,-43.859
0.903,-43.4109
0.904,-42.9487
0.905,-42.4727
0.906,-41.983
0.907,-41.48
0.908,-40.9639
0.909,-40.4349
0.91,-39.8933
0.911,-39.3393
0.912,-38.7733
0.913,-38.1955
0.914,-37.6062
0.915,-37.0057
0.916,-36.3943
0.917,-35.7722
0.918,-35.1399
0.919,-34.4975
0.92,-33.8454
0.921,-33.184
0.922,-32.5135
0.923,-31.8342
0.924,-31.1466
0.925,-30.4508
0.926,-29.7474
0.927,-29.0365
0.928,-28.3186
0.929,-27.594
0.93,-26.863
0.931,-26.126
0.932,-25.3833
0.933,-24.6354
0.934,-23.8824
0.935,-23.1249
0.936,-22.3631
0.937,-21.5974
0.938,-20.8282
0.939,-20.0558
0.94,-19.2806
0.941,-18.503
0.942,-17.7232
0.943,-16.9418
0.944,-16.1589
0.945,-15.3751
0.946,-14.5906
0.947,-13.8058
0.948,-13.0211
0.949,-12.2368
0.95,-11.4532
0.951,-10.6708
0.952,-9.88983
0.953,-9.11069
0.954,-8.3337
0.955,-7.55922
0.956,-6.78757
0.957,-6.01911
0.958,-5.25415
0.959,-4.49303
0.96,-3.73607
0.961,-2.98361
0.962,-2.23594
0.963,-1.4934
0.964,-0.756281
0.965,-0.024899
0.966,0.700448
0.967,1.41946
0.968,2.13186
0.969,2.83734
0.97,3.53564
0.971,4.22647
0.972,4.90956
0.973,5.58466
0.974,6.2515
0.975,6.90983
0.976,7.5594
0.977,8.19998
0.978,8.83133
0.979,9.45322
0.98,10.0654
0.981,10.6678
0.982,11.26
0.983,11.8419
0.984,12.4133
0.985,12.9741
0.986,13.524
0.987,14.0629
0.988,14.5905
0.989,15.1068
0.99,15.6117
0.991,16.1048
0.992,16.5862
0.993,17.0558
0.994,17.5132
0.995,17.9586
0.996,18.3917
0.997,18.8125
0.998,19.2208
0.999,19.6167
1,20
1.001,20.3707
1.002,20.7286
1.003,21.0739
1.004,21.4063
1.005,21.726
1.006,22.0328
1.007,22.3268
1.008,22.608
1.009,22.8762
1.01,23.1317
1.011,23.3743
1.012,23.6041
1.013,23.8211
1.014,24.0254
1.015,24.217
1.016,24.3959
1.017,24.5623
1.018,24.7162
1.019,24.8577
1.02,24.9868
1.021,25.1037
1.022,25.2084
1.023,25.3011
1.024,25.3819
1.025,25.4508
1.026,25.5081
1.027,25.5538
1.028,25.5881
1.029,25.6112
1.03,25.6231
1.031,25.6241
1.032,25.6143
1.033,25.5938
1.034,25.563
1.035,25.5219
1.036,25.4707
1.037,25.4096
1.038,25.3388
1.039,25.2586
1.04,25.1691
1.041,25.0706
1.042,24.9632
1.043,24.8473
1.044,24.7229
1.045,24.5904
1.046,24.45
1.047,24.3019
1.048,24.1463
1.049,23.9836
1.05,23.8139
1.051,23.6375
1.052,23.4547
1.053,23.2658
1.054,23.0709
1.055,22.8703
1.056,22.6644
1.057,22.4534
1.058,22.2375
1.059,22.017
1.06,21.7922
1.061,21.5634
1.062,21.3308
1.063,21.0947
1.064,20.8555
1.065,20.6132
1.066,20.3684
1.067,20.1211
1.068,19.8717
1.069,19.6205
1.07,19.3678
1.071,19.1137
1.072,18.8587
1.073,18.6029
1.074,18.3466
1.075,18.0902
1.076,17.8338
1.077,17.5777
1.078,17.3223
1.079,17.0677
1.08,16.8143
1.081,16.5622
1.082,16.3117
1.083,16.0632
1.084,15.8167
1.085,15.5727
1.086,15.3312
1.087,15.0926
1.088,14.8571
1.089,14.625
1.09,14.3963
1.091,14.1715
1.092,13.9506
1.093,13.7339
1.094,13.5216
1.095,13.3139
1.096,13.111
1.097,12.9132
1.098,12.7205
1.099,12.5331
1.1,12.3514
1.101,12.1753
1.102,12.0051
1.103,11.8409
1.104,11.683
1.105,11.5314
1.106,11.3862
1.107,11.2477
1.108,11.1159
1.109,10.991
1.11,10.8731
1.111,10.7623
1.112,10.6586
1.113,10.5623
1.114,10.4733
1.115,10.3918
1.116,10.3178
1.117,10.2514
1.118,10.1927
1.119,10.1417
1.12,10.0985
1.121,10.0631
1.122,10.0355
1.123,10.0158
1.124,10.0039
1.125,10
1.126,10.0039
1.127,10.0158
1.128,10.0355
1.129,10.0631
1.13,10.0985
1.131,10.1417
1.132,10.1927
1.133,10.2514
1.134,10.3178
1.135,10.3918
1.136,10.4733
1.137,10.5623
1.138,10.6586
1.139,10.7623
1.14,10.8731
1.141,10.991
1.142,11.1159
1.143,11.2477
1.144,11.3862
1.145,11.5314
1.146,11.683
1.147,11.8409
1.148,12.0051
1.149,12.1753
1.15,12.3514
1.151,12.5331
1.152,12.7205
1.153,12.9132
1.154,13.111
1.155,13.3139
1.156,13.5216
1.157,13.7339
1.158,13.9506
1.159,14.1715
1.16,14.3963
1.161,14.625
1.162,14.8571
1.163,15.0926
1.164,15.3312
1.165,15.5727
1.166,15.8167
1.167,16.0632
1.168,16.3117
1.169,16.5622
1.17,16.8143
1.171,17.0677
1.172,17.3223
1.173,17.5777
1.174,17.8338
1.175,18.0902
1.176,18.3466
1.177,18.6029
1.178,18.8587
1.179,19.1137
1.18,19.3678
1.181,19.6205
1.182,19.8717
1.183,20.1211
1.184,20.3684
1.185,20.6132
1.186,20.8555
1.187,21.0947
1.188,21.3308
1.189,21.5634
1.19,21.7922
1.191,22.017
1.192,22.2375
1.193,22.4534
1.194,22.6644
1.195,22.8703
1.196,23.0709
1.197,23.2658
1.198,23.4547
1.199,23.6375
1.2,23.8139
1.201,23.9836
1.202,24.1463
1.203,24.3019
1.204,24.45
1.205,24.5904
1.206,24.7229
1.207,24.8473
1.208,24.9632
1.209,25.0706
1.21,25.1691
1.211,25.2586
1.212,25.3388
1.213,25.4096
1.214,25.4707
1.215,25.5219
1.216,25.563
1.217,25.5938
1.218,25.6143
1.219,25.6241
1.22,25.6231
1.221,25.6112
1.222,25.5881
1.223,25.5538
1.224,25.5081
1.225,25.4508
1.226,25.3819
1.227,25.3011
1.228,25.2084
1.229,25.1037
1.23,24.9868
1.231,24.8577
1.232,24.7162
1.233,24.5623
1.234,24.3959
1.235,24.217
1.236,24.0254
1.237,23.8211
1.238,23.6041
1.239,23.3743
1.24,23.1317
1.241,22.8762
1.242,22.608
1.243,22.3268
1.244,22.0328
1.245,21.726
1.246,21.4063
1.247,21.0739
1.248,20.7286
1.249,20.3707
1.25,20
1.251,19.6167
1.252,19.2208
1.253,18.8125
1.254,18.3917
1.255,17.9586
1.256,17.5132
1.257,17.0558
1.258,16.5862
1.259,16.1048
1.26,15.6117
1.261,15.1068
1.262,14.5905
1.263,14.0629
1.264,13.524
1.265,12.9741
1.266,12.4133
1.267,11.8419
1.268,11.26
1.269,10.6678
1.27,10.0654
1.271,9.45322
1.272,8.83133
1.273,8.19998
1.274,7.5594
1.275,6.90983
1.276,6.2515
1.277,5.58466
1.278,4.90956
1.279,4.22647
1.28,3.53564
1.281,2.83734
1.282,2.13186
1.283,1.41946
1.284,0.700448
1.285,-0.024899
1.286,-0.756281
1.287,-1.4934
1.288,-2.23594
1.289,-2.98361
1.29,-3.73607
1.291,-4.49303
1.292,-5.25415
1.293,-6.01911
1.294,-6.78757
1.295,-7.55922
1.296,-8.3337
1.297,-9.11069
1.298,-9.88983
1.299,-10.6708
1.3,-11.4532
1.301,-12.2368
1.302,-13.0211
1.303,-13.8058
1.304,-14.5906
1.305,-15.3751
1.306,-16.1589
1.307,-16.9418
1.308,-17.7232
1.309,-18.503
1.31,-19.2806
1.311,-20.0558
1.312,-20.8282
1.313,-21.5974
1.314,-22.3631
1.315,-23.1249
1.316,-23.8824
1.317,-24.6354
1.318,-25.3833
1.319,-26.126
1.32,-26.863
1.321,-27.594
1.322,-28.3186
1.323,-29.0365
1.324,-29.7474
1.325,-30.4508
1.326,-31.1466
1.327,-31.8342
1.328,-32.5135
1.329,-33.184
1.33,-33.8454
1.331,-34.4975
1.332,-35.1399
1.333,-35.7722
1.334,-36.3943
1.335,-37.0057
1.336,-37.6062
1.337,-38.1955
1.338,-38.7733
1.339,-39.3393
1.34,-39.8933
1.341,-40.4349
1.342,-40.9639
1.343,-41.48
1.344,-41.983
1.345,-42.4727
1.346,-42.9487
1.347,-43.4109
1.348,-43.859
1.349,-44.2928
1.35,-44.712
1.351,-45.1166
1.352,-45.5062
1.353,-45.8807
1.354,-46.2399
1.355,-46.5836
1.356,-46.9117
1.357,-47.2239
1.358,-47.5202
1.359,-47.8003
1.36,-48.0641
1.361,-48.3116
1.362,-48.5425
1.363,-48.7568
1.364,-48.9544
1.365,-49.1351
1.366,-49.2989
1.367,-49.4456
1.368,-49.5753
1.369,-49.6878
1.37,-49.7831
1.371,-49.8611
1.372,-49.9219
1.373,-49.9653
1.374,-49.9913
1.375,-50
1.376,-49.9913
1.377,-49.9653
1.378,-49.9219
1.379,-49.8611
1.38,-49.7831
1.381,-49.6878
1.382,-49.5753
1.383,-49.4456
1.384,-49.2989
1.385,-49.1351
1.386,-48.9544
1.387,-48.7568
1.388,-48.5425
1.389,-48.3116
1.39,-48.0641
1.391,-47.8003
1.392,-47.5202
1.393,-47.2239
1.394,-46.9117
1.395,-46.5836
1.396,-46.2399
1.397,-45.8807
1.398,-45.5062
1.399,-45.1166
1.4,-44.712
1.401,-44.2928
1.402,-43.859
1.403,-43.4109
1.404,-42.9487
1.405,-42.4727
1.406,-41.983
1.407,-41.48
1.408,-40.9639
1.409,-40.4349
1.41,-39.8933
1.411,-39.3393
1.412,-38.7733
1.413,-38.1955
1.414,-37.6062
1.415,-37.0057
1.416,-36.3943
1.417,-35.7722
1.418,-35.1399
1.419,-34.4975
1.42,-33.8454
1.421,-33.184
1.422,-32.5135
1.423,-31.8342
1.424,-31.1466
1.425,-30.4508
1.426,-29.7474
1.427,-29.0365
1.428,-28.3186
1.429,-27.594
1.43,-26.863
1.431,-26.126
1.432,-25.3833
1.433,-24.6354
1.434,-23.8824
1.435,-23.1249
1.436,-22.3631
1.437,-21.5974
1.438,-20.8282
1.439,-20.0558
1.44,-19.2806
1.441,-18.503
1.442,-17.7232
1.443,-16.9418
1.444,-16.1589
1.445,-15.3751
1.446,-14.5906
1.447,-13.8058
1.448,-13.0211
1.449,-12.2368
1.45,-11.4532
1.451,-10.6708
1.452,-9.88983
1.453,-9.11069
1.454,-8.3337
1.455,-7.55922
1.456,-6.78757
1.457,-6.01911
1.458,-5.25415
1.459,-4.49303
1.46,-3.73607
1.461,-2.98361
1.462,-2.23594
1.463,-1.4934
1.464,-0.756281
1.465,-0.024899
1.466,0.700448
1.467,1.41946
1.468,2.13186
1.469,2.83734
1.47,3.53564
1.471,4.22647
1.472,4.90956
1.473,5.58466
1.474,6.2515
1.475,6.90983
1.476,7.5594
1.477,8.19998
1.478,8.83133
1.479,9.45322
1.48,10.0654
1.481,10.6678
1.482,11.26
1.483,11.8419
1.484,12.4133
1.485,12.9741
1.486,13.524
1.487,14.0629
1.488,14.5905
1.489,15.1068
1.49,15.6117
1.491,16.1048
1.492,16.5862
1.493,17.0558
1.494,17.5132
1.495,17.9586
1.496,18.3917
1.497,18.8125
1.498,19.2208
1.499,19.6167
1.5,20
1.501,20.3707
1.502,20.7286
1.503,21.0739
1.504,21.4063
1.505,21.726
1.506,22.0328
1.507,22.3268
1.508,22.608
1.509,22.8762
1.51,23.1317
